data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,173756,ash_g,2.85,g,imported,38,1.82,3.13,A: Analytical
usda_fdc_sr_legacy,173756,calcium_mg,57.0,mg,imported,35,20,88,A: Analytical
usda_fdc_sr_legacy,173756,carbohydrate_g,62.95,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173756,energy_kcal,378.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,energy_kj,1581.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,fat_g,6.04,g,imported,60,,,
usda_fdc_sr_legacy,173756,fat_mono_g,1.377,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,fat_poly_g,2.731,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,fat_sat_g,0.603,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,fiber_g,12.2,g,imported,0,,,T: Taken from another source--other tables of food composition
usda_fdc_sr_legacy,173756,folate_ug,557.0,ug,imported,16,,,
usda_fdc_sr_legacy,173756,iron_mg,4.31,mg,imported,35,3.41,5.72,A: Analytical
usda_fdc_sr_legacy,173756,magnesium_mg,79.0,mg,imported,35,53,107,A: Analytical
usda_fdc_sr_legacy,173756,niacin_mg,1.541,mg,imported,43,,,
usda_fdc_sr_legacy,173756,phosphorus_mg,252.0,mg,imported,19,164,329,A: Analytical
usda_fdc_sr_legacy,173756,potassium_mg,718.0,mg,imported,34,582,1086,A: Analytical
usda_fdc_sr_legacy,173756,protein_g,20.47,g,imported,54,2.45,25.83,A: Analytical
usda_fdc_sr_legacy,173756,riboflavin_mg,0.212,mg,imported,48,,,
usda_fdc_sr_legacy,173756,sodium_mg,24.0,mg,imported,35,,,
usda_fdc_sr_legacy,173756,sugars_g,10.7,g,imported,0,,,T: Taken from another source--other tables of food composition
usda_fdc_sr_legacy,173756,thiamin_mg,0.477,mg,imported,42,,,
usda_fdc_sr_legacy,173756,vitamin_a_rae_ug,3.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173756,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173756,vitamin_b6_mg,0.535,mg,imported,26,,,
usda_fdc_sr_legacy,173756,vitamin_c_mg,4.0,mg,imported,3,,,
usda_fdc_sr_legacy,173756,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,173756,vitamin_e_mg,0.82,mg,imported,0,,,O: Other procedure used from imputing
usda_fdc_sr_legacy,173756,vitamin_k_ug,9.0,ug,imported,0,,,O: Other procedure used from imputing
usda_fdc_sr_legacy,173756,water_g,7.68,g,imported,54,4.55,9.42,A: Analytical
usda_fdc_sr_legacy,173756,zinc_mg,2.76,mg,imported,35,2.03,4.54,A: Analytical
usda_fdc_sr_legacy,173757,ash_g,0.92,g,imported,24,,,
usda_fdc_sr_legacy,173757,calcium_mg,49.0,mg,imported,21,,,
usda_fdc_sr_legacy,173757,carbohydrate_g,27.42,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173757,cholesterol_mg,0.0,mg,imported,0,,,
usda_fdc_sr_legacy,173757,energy_kcal,164.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173757,energy_kj,686.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,173757,fat_g,2.59,g,imported,24,,,
usda_fdc_sr_legacy,173757,fat_mono_g,0.583,g,imported,0,,,
usda_fdc_sr_legacy,173757,fat_poly_g,1.156,g,imported,0,,,
usda_fdc_sr_legacy,173757,fat_sat_g,0.269,g,imported,0,,,
usda_fdc_sr_legacy,173757,fiber_g,7.6,g,imported,0,,,
usda_fdc_sr_legacy,173757,folate_ug,172.0,ug,imported,8,,,
usda_fdc_sr_legacy,173757,iron_mg,2.89,mg,imported,21,,,
