data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,167747,ash_g,0.21,g,imported,6,0.15,0.3,A: Analytical
usda_fdc_sr_legacy,167747,calcium_mg,6.0,mg,imported,6,3,9,A: Analytical
usda_fdc_sr_legacy,167747,carbohydrate_g,6.9,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,167747,energy_kcal,22.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,energy_kj,91.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,fat_g,0.24,g,imported,6,0.05,0.48,A: Analytical
usda_fdc_sr_legacy,167747,fat_mono_g,0.006,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,fat_poly_g,0.021,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,fat_sat_g,0.04,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,167747,fiber_g,0.3,g,imported,6,0.1,0.5,A: Analytical
usda_fdc_sr_legacy,167747,folate_ug,20.0,ug,imported,4,12,34,A: Analytical
usda_fdc_sr_legacy,167747,iron_mg,0.08,mg,imported,4,0.07,0.09,A: Analytical
usda_fdc_sr_legacy,167747,magnesium_mg,6.0,mg,imported,6,3,8,A: Analytical
usda_fdc_sr_legacy,167747,niacin_mg,0.091,mg,imported,6,0.07,0.1,A: Analytical
usda_fdc_sr_legacy,167747,phosphorus_mg,8.0,mg,imported,6,4,11,A: Analytical
usda_fdc_sr_legacy,167747,potassium_mg,103.0,mg,imported,8,53,145,A: Analytical
usda_fdc_sr_legacy,167747,protein_g,0.35,g,imported,6,0.3,0.4,A: Analytical
usda_fdc_sr_legacy,167747,riboflavin_mg,0.015,mg,imported,4,0.015,0.015,A: Analytical
usda_fdc_sr_legacy,167747,sodium_mg,1.0,mg,imported,15,,,
usda_fdc_sr_legacy,167747,sugars_g,2.52,g,imported,4,2.21,2.7,A: Analytical
usda_fdc_sr_legacy,167747,thiamin_mg,0.024,mg,imported,6,0.015,0.03,A: Analytical
usda_fdc_sr_legacy,167747,vitamin_a_rae_ug,0.0,ug,imported,1,,,A: Analytical
usda_fdc_sr_legacy,167747,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,167747,vitamin_b6_mg,0.046,mg,imported,6,0.038,0.054,A: Analytical
usda_fdc_sr_legacy,167747,vitamin_c_mg,38.7,mg,imported,8,32.1,43.3,A: Analytical
usda_fdc_sr_legacy,167747,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,167747,vitamin_e_mg,0.15,mg,imported,0,,,BFZN: Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors not used
usda_fdc_sr_legacy,167747,vitamin_k_ug,0.0,ug,imported,0,,,BFZN: Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors not used
usda_fdc_sr_legacy,167747,water_g,92.31,g,imported,6,92,92.87,A: Analytical
usda_fdc_sr_legacy,167747,zinc_mg,0.05,mg,imported,6,0.02,0.08,A: Analytical
usda_fdc_sr_legacy,168191,ash_g,1.74,g,imported,2,1.69,1.79,A: Analytical
usda_fdc_sr_legacy,168191,calcium_mg,64.0,mg,imported,2,60,69,A: Analytical
usda_fdc_sr_legacy,168191,carbohydrate_g,74.97,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168191,energy_kcal,277.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168191,energy_kj,1160.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,168191,fat_g,0.15,g,imported,2,0.1,0.21,A: Analytical
usda_fdc_sr_legacy,168191,fiber_g,6.7,g,imported,2,5.9,7.4,A: Analytical
usda_fdc_sr_legacy,168191,folate_ug,15.0,ug,imported,1,,,A: Analytical
usda_fdc_sr_legacy,168191,iron_mg,0.9,mg,imported,2,0.79,1.01,A: Analytical
usda_fdc_sr_legacy,168191,magnesium_mg,54.0,mg,imported,2,53,55,A: Analytical
usda_fdc_sr_legacy,168191,niacin_mg,1.61,mg,imported,2,1.45,1.77,A: Analytical
usda_fdc_sr_legacy,168191,phosphorus_mg,62.0,mg,imported,2,60,64,A: Analytical
usda_fdc_sr_legacy,168191,potassium_mg,696.0,mg,imported,2,690,701,A: Analytical
usda_fdc_sr_legacy,168191,protein_g,1.81,g,imported,2,1.67,1.96,A: Analytical
usda_fdc_sr_legacy,168191,riboflavin_mg,0.06,mg,imported,2,0.06,0.06,A: Analytical
usda_fdc_sr_legacy,168191,sodium_mg,1.0,mg,imported,2,0,1,A: Analytical
usda_fdc_sr_legacy,168191,sugars_g,66.47,g,imported,2,65.21,67.72,A: Analytical
usda_fdc_sr_legacy,168191,thiamin_mg,0.05,mg,imported,2,0.047,0.053,A: Analytical
usda_fdc_sr_legacy,168191,vitamin_a_rae_ug,7.0,ug,imported,2,6,9,A: Analytical
usda_fdc_sr_legacy,168191,vitamin_b6_mg,0.249,mg,imported,2,0.231,0.266,A: Analytical
usda_fdc_sr_legacy,168191,vitamin_c_mg,0.0,mg,imported,2,0,0,A: Analytical
usda_fdc_sr_legacy,168191,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,168191,vitamin_k_ug,2.7,ug,imported,2,2.7,2.8,A: Analytical
usda_fdc_sr_legacy,168191,water_g,21.32,g,imported,2,19.53,23.11,A: Analytical
usda_fdc_sr_legacy,168191,zinc_mg,0.44,mg,imported,2,0.43,0.45,A: Analytical
usda_fdc_sr_legacy,168409,ash_g,0.38,g,imported,4,0.38,0.38,A: Analytical
usda_fdc_sr_legacy,168409,calcium_mg,16.0,mg,imported,4,16,16,A: Analytical
