data_source_code,external_ref,measure_unit_label,amount,gram_weight,description,modifier,basis
usda_fdc_sr_legacy,167747,cup,1.0,244.0,,cup,usda
usda_fdc_sr_legacy,167747,fl oz,1.0,30.5,,fl oz,usda
usda_fdc_sr_legacy,167747,lemon yields,1.0,48.0,,lemon yields,usda
usda_fdc_sr_legacy,167747,wedge yields,1.0,5.9,,wedge yields,usda
usda_fdc_sr_legacy,168191,"date, pitted",1.0,24.0,,"date, pitted",usda
usda_fdc_sr_legacy,168409,cup slices,0.5,52.0,,cup slices,usda
usda_fdc_sr_legacy,168409,"cucumber (8-1/4"")",1.0,301.0,,"cucumber (8-1/4"")",usda
usda_fdc_sr_legacy,168462,cup,1.0,30.0,,cup,usda
usda_fdc_sr_legacy,168462,bunch,1.0,340.0,,bunch,usda
usda_fdc_sr_legacy,168462,leaf,1.0,10.0,,leaf,usda
usda_fdc_sr_legacy,168462,package (10 oz),1.0,284.0,,package (10 oz),usda
usda_fdc_sr_legacy,168463,cup,1.0,180.0,,cup,usda
usda_fdc_sr_legacy,169097,"cup, sections",1.0,180.0,,"cup, sections",usda
usda_fdc_sr_legacy,169097,"large (3-1/16"" dia)",1.0,184.0,,"large (3-1/16"" dia)",usda
usda_fdc_sr_legacy,169097,"small (2-3/8"" dia)",1.0,96.0,,"small (2-3/8"" dia)",usda
usda_fdc_sr_legacy,169097,"fruit (2-5/8"" dia)",1.0,131.0,,"fruit (2-5/8"" dia)",usda
usda_fdc_sr_legacy,169228,"cup, cubes",1.0,82.0,,"cup, cubes",usda
usda_fdc_sr_legacy,169228,"eggplant, peeled (yield from 1-1/4 lb)",1.0,458.0,,"eggplant, peeled (yield from 1-1/4 lb)",usda
usda_fdc_sr_legacy,169228,"eggplant, unpeeled (approx 1-1/4 lb)",1.0,548.0,,"eggplant, unpeeled (approx 1-1/4 lb)",usda
usda_fdc_sr_legacy,169229,"cup (1"" cubes)",1.0,99.0,,"cup (1"" cubes)",usda
usda_fdc_sr_legacy,169230,cup,1.0,136.0,,cup,usda
usda_fdc_sr_legacy,169230,tsp,1.0,2.8,,tsp,usda
usda_fdc_sr_legacy,169230,clove,1.0,3.0,,clove,usda
usda_fdc_sr_legacy,169230,cloves,3.0,9.0,,cloves,usda
usda_fdc_sr_legacy,169291,"cup, chopped",1.0,124.0,,"cup, chopped",usda
