food_id,food_name_ar,food_name_en,category_path,food_form_code,data_source_code,external_ref,notes
,أرز,Rice,,raw,usda_fdc_sr_legacy,169760,"FDC: Rice, white, medium-grain, raw, unenriched (published 2019-04-01)"
,أرز,Rice,,cooked,usda_fdc_sr_legacy,169757,"FDC: Rice, white, long-grain, regular, unenriched, cooked without salt (published 2019-04-01)"
,برغل,Bulgur wheat,,raw,usda_fdc_sr_legacy,170688,"FDC: Bulgur, dry (published 2019-04-01)"
,برغل,Bulgur wheat,,cooked,usda_fdc_sr_legacy,170287,"FDC: Bulgur, cooked (published 2019-04-01)"
,قمح,Wheat,,raw,usda_fdc_sr_legacy,169721,"FDC: Wheat, durum (published 2019-04-01)"
,طحين قمح,Wheat flour,,as_sold,usda_fdc_sr_legacy,169761,"FDC: Wheat flour, white, all-purpose, unenriched (published 2019-04-01)"
,خبز عربي,Pita bread,,as_sold,usda_fdc_sr_legacy,172816,"FDC: Bread, pita, white, unenriched (published 2019-04-01)"
,عدس,Lentils,,raw,usda_fdc_sr_legacy,172420,"FDC: Lentils, raw (published 2019-04-01)"
,عدس,Lentils,,boiled,usda_fdc_sr_legacy,172421,"FDC: Lentils, mature seeds, cooked, boiled, without salt (published 2019-04-01)"
,فاصولياء بيضاء,White beans,,raw,usda_fdc_sr_legacy,175202,"FDC: Beans, white, mature seeds, raw (published 2019-04-01)"
,فاصولياء بيضاء,White beans,,boiled,usda_fdc_sr_legacy,175203,"FDC: Beans, white, mature seeds, cooked, boiled, without salt (published 2019-04-01)"
,فول,Fava beans,,raw,usda_fdc_sr_legacy,175205,"FDC: Broadbeans (fava beans), mature seeds, raw (published 2019-04-01)"
,فول,Fava beans,,boiled,usda_fdc_sr_legacy,173753,"FDC: Broadbeans (fava beans), mature seeds, cooked, boiled, without salt (published 2019-04-01)"
,بازلاء,Green peas,,raw,usda_fdc_sr_legacy,170419,"FDC: Peas, green, raw (published 2019-04-01)"
,بازلاء,Green peas,,boiled,usda_fdc_sr_legacy,170420,"FDC: Peas, green, cooked, boiled, drained, without salt (published 2019-04-01)"
,بطاطا,Potatoes,,raw,usda_fdc_sr_legacy,170026,"FDC: Potatoes, flesh and skin, raw (published 2019-04-01)"
,بطاطا,Potatoes,,boiled,usda_fdc_sr_legacy,170440,"FDC: Potatoes, boiled, cooked without skin, flesh, without salt (published 2019-04-01)"
,بندورة,Tomatoes,,raw,usda_fdc_sr_legacy,170457,"FDC: Tomatoes, red, ripe, raw, year round average (published 2019-04-01)"
,بصل,Onions,,raw,usda_fdc_sr_legacy,170000,"FDC: Onions, raw (published 2019-04-01)"
,بصل,Onions,,boiled,usda_fdc_sr_legacy,170001,"FDC: Onions, cooked, boiled, drained, without salt (published 2019-04-01)"
,ثوم,Garlic,,raw,usda_fdc_sr_legacy,169230,"FDC: Garlic, raw (published 2019-04-01)"
,خيار,Cucumber,,raw,usda_fdc_sr_legacy,168409,"FDC: Cucumber, with peel, raw (published 2019-04-01)"
